1	03B	7000	140
2	04	7000	100
3	06A	7000	70
4	06B	7000	120
5	06C	7000	85
6	06D	7000	123
7	06E	7000	144
8	08A	7000	140
9	08B	7000	101
10	08BCT	7000	99
11	12	7000	87
12	21B	7000	100
13	37	7000	106
14	60A	7000	107
15	94	7000	104
16	99	7000	87
17	106	7000	97
18	E06	7000	94
19	57	7000	90
20	58	7000	99
21	59	7000	120
22	61	7000	66
23	65	7000	89
24	142	7000	45
25	143	7000	109
26	144	7000	100
27	CNG01	7000	112
28	CNG02	7000	117
29	CNG03	7000	129
30	CNG04	7000	132
31	CNG05	7000	134
32	CNG06	7000	142
33	CNG07	7000	139
34	E01	7000	144
35	E02	7000	93
36	E03	7000	150
37	E04	7000	143
38	E05	7000	146
39	E07	7000	94
40	E08	7000	133
41	E09	7000	89
42	E10	7000	136
43	01	7000	135
44	02	7000	91
45	03A	7000	95
46	05	7000	103
47	07	7000	96
48	09A	7000	97
49	09B	7000	117
50	09BCT	7000	156
51	11	7000	78
52	11CT	7000	92
53	13	7000	147
54	15	7000	110
55	16	7000	141
56	17	7000	135
57	19	7000	122
58	20A	7000	119
59	20B	7000	83
60	21A	7000	150
61	22A	7000	110
62	22B	7000	128
63	22C	7000	139
64	23	7000	128
65	24	7000	93
66	25	7000	117
67	26	7000	75
68	27	7000	158
69	28	7000	137
70	29	7000	80
71	30	7000	103
72	30CT	7000	118
73	31	7000	103
74	32	7000	124
75	33	7000	133
76	34	7000	79
77	35A	7000	148
78	35B	7000	100
79	36	7000	81
80	36CT	10000	96
81	38	7000	141
82	40CT	8000	135
83	41	7000	157
84	42	7000	158
85	43	7000	100
86	44	7000	93
87	45	7000	147
88	46	7000	120
89	47A	7000	144
90	47B	7000	87
91	48	7000	147
92	49	7000	75
93	50	7000	128
94	51	7000	125
95	52A	7000	107
96	52B	7000	85
97	53A	7000	128
98	53B	7000	156
99	54	7000	81
100	55A	7000	103
101	55B	7000	76
102	56A	7000	138
103	56B	7000	87
